Compressor_Level:5 Granularity:2176  Compression_Ratio:103.49565
Compressor_Level:6 Granularity:2176  Compression_Ratio:103.49780
Compressor_Level:7 Granularity:2176  Compression_Ratio:103.49887
Compressor_Level:8 Granularity:2176  Compression_Ratio:103.49887
Compressor_Level:9 Granularity:2176  Compression_Ratio:108.66626
Compressor_Level:0 Granularity:2240  Compression_Ratio:0.99777
Compressor_Level:1 Granularity:2240  Compression_Ratio:79.84947
Compressor_Level:2 Granularity:2240  Compression_Ratio:83.81231
Compressor_Level:3 Granularity:2240  Compression_Ratio:86.05551
Compressor_Level:4 Granularity:2240  Compression_Ratio:106.53450
Compressor_Level:5 Granularity:2240  Compression_Ratio:106.53450
Compressor_Level:6 Granularity:2240  Compression_Ratio:106.53564
Compressor_Level:7 Granularity:2240  Compression_Ratio:106.53564
Compressor_Level:8 Granularity:2240  Compression_Ratio:106.53792
Compressor_Level:9 Granularity:2240  Compression_Ratio:111.85663
Compressor_Level:0 Granularity:2304  Compression_Ratio:0.99783
Compressor_Level:1 Granularity:2304  Compression_Ratio:75.05524
Compressor_Level:2 Granularity:2304  Compression_Ratio:75.02475
Compressor_Level:3 Granularity:2304  Compression_Ratio:75.33311
Compressor_Level:4 Granularity:2304  Compression_Ratio:104.60426
Compressor_Level:5 Granularity:2304  Compression_Ratio:104.60426
Compressor_Level:6 Granularity:2304  Compression_Ratio:104.60535
Compressor_Level:7 Granularity:2304  Compression_Ratio:104.60535
Compressor_Level:8 Granularity:2304  Compression_Ratio:104.60755
Compressor_Level:9 Granularity:2304  Compression_Ratio:115.05116
Compressor_Level:0 Granularity:2368  Compression_Ratio:0.99789
Compressor_Level:1 Granularity:2368  Compression_Ratio:75.53687
Compressor_Level:2 Granularity:2368  Compression_Ratio:75.10726
Compressor_Level:3 Granularity:2368  Compression_Ratio:78.85048
Compressor_Level:4 Granularity:2368  Compression_Ratio:107.50629
Compressor_Level:5 Granularity:2368  Compression_Ratio:107.50513
Compressor_Level:6 Granularity:2368  Compression_Ratio:107.50861
Compressor_Level:7 Granularity:2368  Compression_Ratio:107.50861
Compressor_Level:8 Granularity:2368  Compression_Ratio:107.50977
Compressor_Level:9 Granularity:2368  Compression_Ratio:112.62102
Compressor_Level:0 Granularity:2432  Compression_Ratio:0.99795
Compressor_Level:1 Granularity:2432  Compression_Ratio:75.82812
Compressor_Level:2 Granularity:2432  Compression_Ratio:76.26895
Compressor_Level:3 Granularity:2432  Compression_Ratio:76.26895
Compressor_Level:4 Granularity:2432  Compression_Ratio:110.40621
Compressor_Level:5 Granularity:2432  Compression_Ratio:110.40498
Compressor_Level:6 Granularity:2432  Compression_Ratio:110.40743
Compressor_Level:7 Granularity:2432  Compression_Ratio:110.40865
Compressor_Level:8 Granularity:2432  Compression_Ratio:110.40865
Compressor_Level:9 Granularity:2432  Compression_Ratio:115.66109
Compressor_Level:0 Granularity:2496  Compression_Ratio:0.99800
Compressor_Level:1 Granularity:2496  Compression_Ratio:75.76762
Compressor_Level:2 Granularity:2496  Compression_Ratio:83.97679
Compressor_Level:3 Granularity:2496  Compression_Ratio:85.96574
Compressor_Level:4 Granularity:2496  Compression_Ratio:113.30830
Compressor_Level:5 Granularity:2496  Compression_Ratio:113.30830
Compressor_Level:6 Granularity:2496  Compression_Ratio:113.31216
Compressor_Level:7 Granularity:2496  Compression_Ratio:113.31087
Compressor_Level:8 Granularity:2496  Compression_Ratio:113.31345
Compressor_Level:9 Granularity:2496  Compression_Ratio:113.31216
Compressor_Level:0 Granularity:2560  Compression_Ratio:0.99805
Compressor_Level:1 Granularity:2560  Compression_Ratio:76.56883
Compressor_Level:2 Granularity:2560  Compression_Ratio:76.47663
Compressor_Level:3 Granularity:2560  Compression_Ratio:77.50087
Compressor_Level:4 Granularity:2560  Compression_Ratio:111.16447
Compressor_Level:5 Granularity:2560  Compression_Ratio:111.16323
Compressor_Level:6 Granularity:2560  Compression_Ratio:111.16571
Compressor_Level:7 Granularity:2560  Compression_Ratio:111.16571
Compressor_Level:8 Granularity:2560  Compression_Ratio:111.16695
Compressor_Level:9 Granularity:2560  Compression_Ratio:116.21246
Compressor_Level:0 Granularity:2624  Compression_Ratio:0.99810
